id,title,duration_seconds,album_id,artist_id,genre_id,mood,play_count
1,Midnight Drive,212,1,1,1,energetic,0
2,Frozen Echo,198,1,1,1,melancholic,0
3,Neon Skyline,245,2,2,2,upbeat,0
4,Rain on Glass,187,2,2,2,calm,0
5,Pulse Wave,203,3,3,5,energetic,0
6,Digital Garden,176,3,3,5,dreamy,0
7,Sunset Boulevard,234,4,4,2,romantic,0
8,Parallel Heart,221,4,4,2,melancholic,0
9,Snowfall,192,5,5,1,calm,0
10,Red Line,208,5,5,1,energetic,0
11,Cherry Blossom,199,6,6,5,dreamy,0
12,Shibuya Nights,228,6,6,5,upbeat,0
13,Thunder Road,256,7,7,8,aggressive,0
14,Iron Will,241,7,7,8,energetic,0
15,Pacific Wind,205,8,8,2,calm,0
16,Harbor Lights,193,8,8,2,romantic,0
17,Carnival Beat,218,9,9,3,upbeat,0
18,Rio Pulse,207,9,9,3,energetic,0
19,After Hours,184,10,10,7,melancholic,0
20,Velvet Room,196,10,10,7,romantic,0
21,Aurelia,223,11,11,6,calm,0
22,Marble Steps,210,11,11,6,dreamy,0
23,Current,189,12,12,5,energetic,0
24,Undertow,201,12,12,5,melancholic,0
25,Static Bloom,195,13,1,1,upbeat,0
26,Polar Night,220,13,1,1,calm,0
27,River Song,214,14,2,2,romantic,0
28,City Lights,200,14,2,2,upbeat,0
29,Glass Heart,192,15,3,5,melancholic,0
30,Tower View,206,15,3,5,dreamy,0
31,Smooth Operator,198,10,10,4,calm,0
32,Brass Line,215,11,11,4,upbeat,0
33,Nocturne,240,11,11,6,calm,0
34,Symphony Zero,272,12,12,6,dreamy,0
35,Beat Machine,189,3,3,3,energetic,0
36,Flow State,203,9,9,3,upbeat,0
37,Low Frequency,221,7,7,8,aggressive,0
38,High Voltage,233,7,7,8,energetic,0
39,Soft Landing,178,8,8,7,romantic,0
40,Golden Hour,194,4,4,2,calm,0
